id,group_id,user_id,action_type,expense_id,payment_id,metadata,created_at
1,1,1,create_group,,,,2025-05-05 22:36:57.285831
2,1,1,create_invite_link,,,,2025-05-05 22:36:57.652743
4,2,1,create_group,,,,2025-05-06 02:30:34.447973
5,2,1,create_invite_link,,,,2025-05-06 02:30:34.937767
7,3,1,create_group,,,,2025-05-06 14:35:32.649267
8,3,1,create_invite_link,,,,2025-05-06 14:35:33.284098
9,4,1,create_group,,,,2025-05-06 14:43:14.656323
10,4,1,create_invite_link,,,,2025-05-06 14:43:15.01037
11,5,1,create_group,,,,2025-05-06 15:03:51.784597
12,5,1,create_invite_link,,,,2025-05-06 15:03:52.18946
13,6,1,create_group,,,,2025-05-06 15:12:28.688196
14,6,1,create_invite_link,,,,2025-05-06 15:12:29.151335
15,7,1,create_group,,,,2025-05-06 15:17:51.897282
16,7,1,create_invite_link,,,,2025-05-06 15:17:52.330511
17,8,1,create_group,,,,2025-05-06 15:24:49.966118
18,8,1,create_invite_link,,,,2025-05-06 15:24:50.387988
19,9,1,create_group,,,,2025-05-06 15:29:13.357143
20,9,1,create_invite_link,,,,2025-05-06 15:29:13.917367
21,10,1,create_group,,,,2025-05-06 15:29:31.081973
22,10,1,create_invite_link,,,,2025-05-06 15:29:31.510315
23,11,1,create_group,,,,2025-05-06 15:32:25.689404
24,11,1,create_invite_link,,,,2025-05-06 15:32:26.296402
25,12,1,create_group,,,,2025-05-06 15:36:00.765678
26,12,1,create_invite_link,,,,2025-05-06 15:36:01.338204
28,2,1,add_expense,4,,,2025-05-06 15:36:34.38277
29,13,1,create_group,,,,2025-05-06 16:12:36.054973
30,13,1,create_invite_link,,,,2025-05-06 16:12:36.490612
31,14,1,create_group,,,,2025-05-06 16:31:48.405907
32,14,1,create_invite_link,,,,2025-05-06 16:31:48.862189
43,20,1,create_group,,,,2025-05-06 21:37:49.783957
44,20,1,create_invite_link,,,,2025-05-06 21:37:50.394795
45,20,3,join_via_invite,,,,2025-05-06 21:45:50.029659
46,20,3,add_expense,5,,,2025-05-06 21:47:04.301919
47,1,2,join_via_invite,,,,2025-05-07 00:39:12.959449
48,1,1,add_expense,6,,,2025-05-07 00:40:13.562176
53,23,1,create_group,,,,2025-05-07 01:58:22.378612
54,23,1,create_invite_link,,,,2025-05-07 01:58:22.874318
55,23,2,join_via_invite,,,,2025-05-07 02:29:42.317109
56,1,1,add_expense,7,,,2025-05-07 02:33:16.23065
57,20,1,add_expense,8,,,2025-05-07 02:41:50.380909
59,1,2,add_expense,10,,,2025-05-08 00:10:13.581061
61,1,1,add_expense,12,,,2025-05-10 15:44:06.879663
63,1,2,add_expense,14,,,2025-05-10 15:47:18.328172
64,1,2,add_expense,15,,,2025-05-10 16:00:19.782772
65,1,2,add_expense,16,,,2025-05-11 21:09:06.964769
66,1,2,add_expense,17,,,2025-05-11 21:09:20.514991
67,1,2,add_expense,18,,,2025-05-13 16:23:13.718339
68,1,2,add_expense,19,,,2025-05-18 00:50:08.522633
69,24,1,create_group,,,,2025-05-20 19:28:11.780077
70,24,1,create_invite_link,,,,2025-05-20 19:28:12.15294
71,1,1,create_invite_link,,,,2025-05-31 15:12:20.214648
72,1,1,create_invite_link,,,,2025-05-31 15:13:24.915408
