id,group_id,paid_by,title,total_amount,notes,date,created_at
4,2,1,Food,20,"",2025-05-06 00:00:00,2025-05-06 15:36:34.295746
5,20,3,Pat on the back,200,"",2025-05-06 00:00:00,2025-05-06 21:47:04.168892
6,1,1,Hemingways,100,"",2025-05-06 00:00:00,2025-05-07 00:40:13.356738
7,1,2,Splitwise Settle Up,1942,"",2025-05-06 00:00:00,2025-05-07 02:33:16.102121
8,20,1,Binoculars ,400,"",2025-05-06 00:00:00,2025-05-07 02:41:50.233017
10,1,2,Matt bday tix,166,"",2025-05-07 00:00:00,2025-05-08 00:10:13.385399
12,1,2,Spices,12.54,"",2025-05-10 00:00:00,2025-05-10 15:44:06.690005
14,1,1,Meat Mother’s Day ,67,"",2025-05-08 00:00:00,2025-05-10 15:47:17.938694
15,1,2,Mother’s Day veg ,27,"",2025-05-10 00:00:00,2025-05-10 16:00:19.580214
16,1,2,Mother’s Day cheese ,42,"",2025-05-11 00:00:00,2025-05-11 21:09:06.763628
17,1,2,Pennies,128,"",2025-05-10 00:00:00,2025-05-11 21:09:20.316547
18,1,2,Paper cups ,19.18,"",2025-05-13 00:00:00,2025-05-13 16:23:13.518392
19,1,1,Katia,150,"",2025-05-16 00:00:00,2025-05-18 00:50:08.329578
