id,group_id,invite_code,created_by,created_at,expires_at,is_active
1,1,1NquByZo,1,2025-05-05 22:36:57.607444,,t
2,2,SN8iSnJa,1,2025-05-06 02:30:34.872119,,t
3,3,M9nPysVE,1,2025-05-06 14:35:33.236936,,t
4,4,hmBmGFgE,1,2025-05-06 14:43:14.961117,,t
5,5,H3XvROkS,1,2025-05-06 15:03:52.139315,,t
6,6,iM4ymdAU,1,2025-05-06 15:12:29.032995,,t
7,7,wpMQQG1Z,1,2025-05-06 15:17:52.276945,,t
8,8,9eQSZlSt,1,2025-05-06 15:24:50.342157,,t
9,9,Ulixm8RJ,1,2025-05-06 15:29:13.865611,,t
10,10,PpZ6ZuGw,1,2025-05-06 15:29:31.460371,,t
11,11,ZTsx4d5z,1,2025-05-06 15:32:26.248856,,t
12,12,mgxLsZQZ,1,2025-05-06 15:36:01.280103,,t
13,13,T8ncNjCu,1,2025-05-06 16:12:36.437784,,t
14,14,FdrUhHew,1,2025-05-06 16:31:48.808566,,t
20,20,SAkgywsT,1,2025-05-06 21:37:50.319955,,t
23,23,Ta4CMR2X,1,2025-05-07 01:58:22.815,,t
24,24,cDyi7URU,1,2025-05-20 19:28:12.099866,,t
25,1,test-invite-1748704031.413150,1,2025-05-31 15:07:11.41315,,t
26,1,2N4JLeIU,1,2025-05-31 15:12:20.17627,,t
27,1,EQDfFvvY,1,2025-05-31 15:13:24.887103,,t
